,currently.apparentTemperature,currently.cloudCover,currently.dewPoint,currently.humidity,currently.icon,currently.precipType,currently.pressure,currently.summary,currently.temperature,currently.time,currently.uvIndex,currently.visibility,currently.windBearing,currently.windSpeed,daily.data,latitude,longitude,offset,timezone
20,23.12,0.75,17.5,0.72,partly-cloudy-day,rain,1022.22,Mostly Cloudy,22.91,1421852400,6.0,,50.0,16.56,"[{'time': 1421809200, 'summary': 'Mostly cloudy throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1421831638, 'sunsetTime': 1421882305, 'moonPhase': 0.06, 'dewPoint': 15.2, 'humidity': 0.77, 'pressure': 1020.55, 'windSpeed': 15.29, 'windBearing': 54, 'uvIndex': 7, 'uvIndexTime': 1421863200, 'temperatureMin': 14.41, 'temperatureMinTime': 1421830800, 'temperatureMax': 26.4, 'temperatureMaxTime': 1421874000, 'apparentTemperatureMin': 14.41, 'apparentTemperatureMinTime': 1421830800, 'apparentTemperatureMax': 26.4, 'apparentTemperatureMaxTime': 1421874000}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
21,25.13,0.25,16.7,0.6,partly-cloudy-day,rain,1018.91,Partly Cloudy,25.01,1421938800,9.0,,50.0,35.29,"[{'time': 1421895600, 'summary': 'Partly cloudy throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1421918100, 'sunsetTime': 1421968678, 'moonPhase': 0.09, 'dewPoint': 15.99, 'humidity': 0.75, 'pressure': 1017.73, 'windSpeed': 23.84, 'windBearing': 51, 'uvIndex': 9, 'uvIndexTime': 1421938800, 'temperatureMin': 16.01, 'temperatureMinTime': 1421917200, 'temperatureMax': 26.21, 'temperatureMaxTime': 1421960400, 'apparentTemperatureMin': 16.13, 'apparentTemperatureMinTime': 1421917200, 'apparentTemperatureMax': 26.31, 'apparentTemperatureMaxTime': 1421960400}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
22,27.93,0.38,18.8,0.62,partly-cloudy-day,rain,1015.62,Partly Cloudy,26.8,1422025200,8.0,,0.0,29.54,"[{'time': 1421982000, 'summary': 'Mostly cloudy throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1422004561, 'sunsetTime': 1422055049, 'moonPhase': 0.13, 'dewPoint': 17.8, 'humidity': 0.76, 'pressure': 1014.26, 'windSpeed': 18.12, 'windBearing': 35, 'uvIndex': 8, 'uvIndexTime': 1422025200, 'temperatureMin': 17.61, 'temperatureMinTime': 1422003600, 'temperatureMax': 28.62, 'temperatureMaxTime': 1422036000, 'apparentTemperatureMin': 17.83, 'apparentTemperatureMinTime': 1422003600, 'apparentTemperatureMax': 29.8, 'apparentTemperatureMaxTime': 1422036000}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
23,29.73,0.13,18.9,0.56,partly-cloudy-day,rain,1012.01,Partly Cloudy,28.51,1422111600,10.0,,20.0,9.37,"[{'time': 1422068400, 'summary': 'Partly cloudy throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1422091023, 'sunsetTime': 1422141418, 'moonPhase': 0.17, 'dewPoint': 18.5, 'humidity': 0.74, 'pressure': 1011.2, 'windSpeed': 9.95, 'windBearing': 38, 'uvIndex': 10, 'uvIndexTime': 1422111600, 'temperatureMin': 18.51, 'temperatureMinTime': 1422090000, 'temperatureMax': 29.92, 'temperatureMaxTime': 1422122400, 'apparentTemperatureMin': 18.85, 'apparentTemperatureMinTime': 1422090000, 'apparentTemperatureMax': 31.63, 'apparentTemperatureMaxTime': 1422122400}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
24,32.93,0.75,21.51,0.6,partly-cloudy-day,rain,1009.91,Mostly Cloudy,30.01,1422198000,6.0,,0.0,9.37,"[{'time': 1422154800, 'summary': 'Humid and mostly cloudy throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1422177485, 'sunsetTime': 1422227785, 'moonPhase': 0.21, 'dewPoint': 20.51, 'humidity': 0.77, 'pressure': 1008.94, 'windSpeed': 8.68, 'windBearing': 10, 'uvIndex': 6, 'uvIndexTime': 1422198000, 'temperatureMin': 17.81, 'temperatureMinTime': 1422176400, 'temperatureMax': 32.21, 'temperatureMaxTime': 1422208800, 'apparentTemperatureMin': 18.09, 'apparentTemperatureMinTime': 1422176400, 'apparentTemperatureMax': 37.05, 'apparentTemperatureMaxTime': 1422208800}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
25,32.48,0.75,22.99,0.71,partly-cloudy-day,rain,1008.51,Humid and Mostly Cloudy,28.82,1422284400,6.0,,0.0,14.78,"[{'time': 1422241200, 'summary': 'Humid and overcast throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1422263947, 'sunsetTime': 1422314151, 'moonPhase': 0.24, 'temperatureLow': 19.21, 'temperatureLowTime': 1422349200, 'apparentTemperatureLow': 19.67, 'apparentTemperatureLowTime': 1422349200, 'dewPoint': 21.82, 'humidity': 0.83, 'pressure': 1007.37, 'windSpeed': 12.12, 'windBearing': 26, 'uvIndex': 6, 'uvIndexTime': 1422284400, 'temperatureMin': 20.21, 'temperatureMinTime': 1422262800, 'temperatureMax': 28.82, 'temperatureMaxTime': 1422284400, 'apparentTemperatureMin': 20.76, 'apparentTemperatureMinTime': 1422262800, 'apparentTemperatureMax': 32.49, 'apparentTemperatureMaxTime': 1422306000}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
26,34.75,0.75,24.2,0.73,partly-cloudy-day,rain,1006.8,Humid and Mostly Cloudy,29.62,1422370800,6.0,,50.0,12.95,"[{'time': 1422327600, 'summary': 'Humid and mostly cloudy throughout the day.', 'icon': 'partly-cloudy-day', 'sunriseTime': 1422350409, 'sunsetTime': 1422400515, 'moonPhase': 0.28, 'dewPoint': 21.14, 'humidity': 0.84, 'pressure': 1006.13, 'windSpeed': 12.39, 'windBearing': 10, 'cloudCover': 0.76, 'uvIndex': 6, 'uvIndexTime': 1422370800, 'temperatureMin': 19.21, 'temperatureMinTime': 1422349200, 'temperatureMax': 29.62, 'temperatureMaxTime': 1422370800, 'apparentTemperatureMin': 19.67, 'apparentTemperatureMinTime': 1422349200, 'apparentTemperatureMax': 34.75, 'apparentTemperatureMaxTime': 1422370800}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
27,21.88,1.0,19.2,0.87,cloudy,rain,1008.01,Overcast,21.4,1422457200,5.0,,50.0,25.9,"[{'time': 1422414000, 'summary': 'Overcast throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1422436871, 'sunsetTime': 1422486878, 'moonPhase': 0.31, 'dewPoint': 18.23, 'humidity': 0.82, 'pressure': 1009.47, 'windSpeed': 16.09, 'windBearing': 138, 'uvIndex': 6, 'uvIndexTime': 1422468000, 'temperatureMin': 17.11, 'temperatureMinTime': 1422500400, 'temperatureMax': 24.21, 'temperatureMaxTime': 1422478800, 'apparentTemperatureMin': 17.11, 'apparentTemperatureMinTime': 1422500400, 'apparentTemperatureMax': 24.48, 'apparentTemperatureMaxTime': 1422478800}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
28,21.4,,12.7,0.58,clear-day,rain,1020.7,Clear,21.4,1422543600,,,140.0,16.56,"[{'time': 1422500400, 'summary': 'Clear throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1422523334, 'sunsetTime': 1422573239, 'moonPhase': 0.34, 'dewPoint': 12.13, 'humidity': 0.69, 'pressure': 1018.92, 'windSpeed': 14.64, 'windBearing': 124, 'uvIndex': 0, 'uvIndexTime': 1422500400, 'temperatureMin': 12.91, 'temperatureMinTime': 1422522000, 'temperatureMax': 23.6, 'temperatureMaxTime': 1422554400, 'apparentTemperatureMin': 12.91, 'apparentTemperatureMinTime': 1422522000, 'apparentTemperatureMax': 23.6, 'apparentTemperatureMaxTime': 1422554400}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
29,22.61,,10.81,0.47,clear-day,rain,1020.01,Clear,22.61,1422630000,,,50.0,29.54,"[{'time': 1422586800, 'summary': 'Clear throughout the day.', 'icon': 'clear-day', 'sunriseTime': 1422609796, 'sunsetTime': 1422659598, 'moonPhase': 0.38, 'dewPoint': 12.78, 'humidity': 0.72, 'pressure': 1018.82, 'windSpeed': 20.52, 'windBearing': 55, 'uvIndex': 0, 'uvIndexTime': 1422586800, 'temperatureMin': 12.91, 'temperatureMinTime': 1422608400, 'temperatureMax': 24.31, 'temperatureMaxTime': 1422640800, 'apparentTemperatureMin': 12.91, 'apparentTemperatureMinTime': 1422608400, 'apparentTemperatureMax': 24.31, 'apparentTemperatureMaxTime': 1422640800}]",-34.5934,-60.9462,-3,America/Argentina/Buenos_Aires
